Description,Amount,Category
SPOTIFY PREMIUM #112,95.75,Utilities & Bills
STARBUCKS///COFFEE///#4921///WWW.ST,99.35,Food & Dining
uber-trip-help.uber-ca,,Transportation
TARGET STORES 0029 WWW.ST,141.43,Shopping & Retail
amzn-mktp-us*am201-800-555,118.91,Shopping & Retail
uber trip help.uber 800-555,21.59,Transportation
WAL-MART SUPER CTR CA,127.54,Shopping & Retail
METRO*TRANSIT*AUTH,125.62,Transportation
METRO TRANSIT AUTH WWW.ST,73.01,Transportation
UBER TRIP HELP.UBER,99.39,Transportation
METRO*TRANSIT*AUTH*-*POSTED,27.2,Transportation
WAL-MART SUPER CTR WWW.ST,144.94,Shopping & Retail
city water dist - posted,54.44,Utilities & Bills
GROCERY WHOLEFDS - POSTED,101.23,Food & Dining
ZARA-USA---POSTED,92.46,Shopping & Retail
amazon.com*direct 800-555,23.66,Shopping & Retail
NIKE///ONLINE///STORE///-///POSTED,32.2,Shopping & Retail
shell///oil///92041,74.86,Transportation
spotify premium 800-555,9.16,Utilities & Bills
POWER*&*LIGHT*CO.*-*POSTED,45.21,Utilities & Bills
COMCAST CABLE WIRELESS,102.66,Utilities & Bills
spotify*premium*#112,48.5,Utilities & Bills
EXXONMOBIL*POSTED*800-555,96.27,Transportation
UBER EATS* PENDING CA,141.2,Food & Dining
NETFLIX.COM SUB DIGTL WWW.ST,111.61,Utilities & Bills
lyft *ride mon ca,108.86,Transportation
SHELL-OIL-92041,115.51,Transportation
TARGET STORES 0029 800-555,94.02,Shopping & Retail
METRO TRANSIT AUTH CA,100.29,Transportation
NIKE ONLINE STORE,,Shopping & Retail
uber eats* pending 800-555,76.6,Food & Dining
grocery-wholefds-#112,144.47,Food & Dining
POWER & LIGHT CO. CA,145.03,Utilities & Bills
TARGET STORES 0029 #112,49.38,Shopping & Retail
starbucks cafe 800-555,72.24,Food & Dining
MCDONALDS F1029 CA,27.84,Food & Dining
DOMINOS PIZZA - 4920 800-555,108.46,Food & Dining
spotify///premium///#112,62.43,Utilities & Bills
METRO TRANSIT AUTH 800-555,130.2,Transportation
ATT*BILL PAY 9201,124.58,Utilities & Bills
COMCAST CABLE WIRELESS,42.01,Utilities & Bills
city*water*dist*#112,92.44,Utilities & Bills
city water dist #112,132.21,Utilities & Bills
GROCERY WHOLEFDS WWW.ST,13.21,Food & Dining
NETFLIX.COM SUB DIGTL,17.37,Utilities & Bills
shell oil 92041 - posted,67.55,Transportation
UBER EATS* PENDING WWW.ST,148.44,Food & Dining
starbucks cafe ca,36.03,Food & Dining
metro transit auth 800-555,120.61,Transportation
metro transit auth #112,12.91,Transportation
SPOTIFY-PREMIUM-#112,113.42,Utilities & Bills
METRO TRANSIT AUTH #112,6.8,Transportation
NETFLIX.COM SUB DIGTL - POSTED,113.96,Utilities & Bills
UBER TRIP HELP.UBER #112,121.04,Transportation
SPOTIFY PREMIUM - POSTED,,Utilities & Bills
COMCAST CABLE WIRELESS - POSTED,19.87,Utilities & Bills
lyft///*ride///mon///ca,88.21,Transportation
UBER TRIP HELP.UBER 800-555,106.74,Transportation
CITY WATER DIST WWW.ST,58.09,Utilities & Bills
mcdonalds f1029 - posted,25.27,Food & Dining
metro transit auth 800-555,47.22,Transportation
DOMINOS PIZZA - 4920 WWW.ST,72.49,Food & Dining
NETFLIX.COM SUB DIGTL #112,12.87,Utilities & Bills
mcdonalds f1029 - posted,21.24,Food & Dining
exxonmobil posted,32.65,Transportation
lyft *ride mon 800-555,110.08,Transportation
zara usa 800-555,31.92,Shopping & Retail
EXXONMOBIL-POSTED,33.62,Transportation
UBER-TRIP-HELP.UBER-CA,133.79,Transportation
METRO TRANSIT AUTH - POSTED,142.58,Transportation
GROCERY*WHOLEFDS*#112,33.89,Food & Dining
starbucks-cafe,16.17,Food & Dining
AMZN MKTP US*AM201 WWW.ST,44.73,Shopping & Retail
UBER EATS* PENDING WWW.ST,11.86,Food & Dining
LYFT *RIDE MON #112,83.19,Transportation
starbucks cafe CA,28.01,Food & Dining
starbucks coffee #4921,134.88,Food & Dining
SHELL OIL 92041 #112,58.64,Transportation
grocery///wholefds///#112,135.05,Food & Dining
SPOTIFY*PREMIUM,9.78,Utilities & Bills
grocery-wholefds-#112,50.46,Food & Dining
AMAZON.COM*DIRECT - POSTED,,Shopping & Retail
spotify premium - posted,108.42,Utilities & Bills
NIKE ONLINE STORE CA,149.86,Shopping & Retail
STARBUCKS///COFFEE///#4921///-///POSTED,82.8,Food & Dining
starbucks cafe ca,49.98,Food & Dining
GROCERY WHOLEFDS,59.6,Food & Dining
SPOTIFY*PREMIUM*CA,62.09,Utilities & Bills
ATT*BILL PAY 9201,51.37,Utilities & Bills
NETFLIX.COM*SUB*DIGTL*CA,69.26,Utilities & Bills
LYFT *RIDE MON CA,68.51,Transportation
,36.55,Food & Dining
AMZN Mktp US*AM201 WWW.ST,103.94,Shopping & Retail
att*bill pay 9201 800-555,114.16,Utilities & Bills
SPOTIFY PREMIUM WWW.ST,145.85,Utilities & Bills
SPOTIFY PREMIUM CA,26.15,Utilities & Bills
TARGET STORES 0029 #112,55.15,Shopping & Retail
uber trip help.uber ca,121.32,Transportation
att*bill pay 9201 #112,10.47,Utilities & Bills
ATT*BILL///PAY///9201,35.31,Utilities & Bills
comcast cable wireless - posted,124.83,Utilities & Bills
uber eats* pending #112,39.76,Food & Dining
starbucks cafe 800-555,,Food & Dining
nike online store #112,134.15,Shopping & Retail
EXXONMOBIL POSTED WWW.ST,49.85,Transportation
zara usa - posted,24.05,Shopping & Retail
COMCAST CABLE WIRELESS #112,71.23,Utilities & Bills
CITY WATER DIST - POSTED,132.13,Utilities & Bills
STARBUCKS COFFEE #4921 800-555,87.57,Food & Dining
WAL-MART SUPER CTR 800-555,84.22,Shopping & Retail
EXXONMOBIL POSTED #112,70.7,Transportation
STARBUCKS COFFEE #4921 #112,145.96,Food & Dining
starbucks coffee #4921 #112,34.37,Food & Dining
UBER EATS* PENDING - POSTED,65.95,Food & Dining
UBER-TRIP-HELP.UBER-#112,93.11,Transportation
UBER-TRIP-HELP.UBER-WWW.ST,115.79,Transportation
,104.6,Utilities & Bills
WAL-MART SUPER CTR,17.69,Shopping & Retail
starbucks coffee #4921 #112,12.94,Food & Dining
METRO TRANSIT AUTH - POSTED,30.59,Transportation
WAL-MART-SUPER-CTR-800-555,12.84,Shopping & Retail
NETFLIX.COM SUB DIGTL #112,145.3,Utilities & Bills
NETFLIX.COM SUB DIGTL CA,125.3,Utilities & Bills
POWER & LIGHT CO.,66.94,Utilities & Bills
nike*online*store*-*posted,31.05,Shopping & Retail
LYFT *RIDE MON CA,122.9,Transportation
shell///oil///92041///www.st,37.56,Transportation
MCDONALDS F1029 - POSTED,,Food & Dining
,104.5,Shopping & Retail
shell///oil///92041///#112,8.97,Transportation
uber trip help.uber - posted,127.0,Transportation
GROCERY WHOLEFDS #112,59.12,Food & Dining
city-water-dist-#112,89.11,Utilities & Bills
,78.72,Shopping & Retail
POWER & LIGHT CO. 800-555,93.65,Utilities & Bills
exxonmobil posted www.st,59.79,Transportation
att*bill-pay-9201,87.57,Utilities & Bills
ATT*BILL PAY 9201 - POSTED,18.56,Utilities & Bills
STARBUCKS COFFEE #4921,39.8,Food & Dining
TARGET STORES 0029,71.35,Shopping & Retail
GROCERY WHOLEFDS - POSTED,82.01,Food & Dining
wal-mart super ctr www.st,44.33,Shopping & Retail
UBER EATS* PENDING - POSTED,113.06,Food & Dining
CITY-WATER-DIST-CA,64.91,Utilities & Bills
lyft *ride mon ca,112.33,Transportation
dominos pizza - 4920 #112,48.04,Food & Dining
CITY WATER DIST CA,,Utilities & Bills
amzn mktp us*am201 ca,88.82,Shopping & Retail
nike online store 800-555,41.35,Shopping & Retail
LYFT *RIDE MON CA,149.81,Transportation
UBER TRIP HELP.UBER WWW.ST,15.91,Transportation
dominos pizza - 4920,118.37,Food & Dining
CITY WATER DIST 800-555,144.46,Utilities & Bills
GROCERY WHOLEFDS WWW.ST,15.86,Food & Dining
wal-mart super ctr #112,135.01,Shopping & Retail
SPOTIFY PREMIUM #112,148.0,Utilities & Bills
UBER///TRIP///HELP.UBER///800-555,20.46,Transportation
